lat:49.6429800 lon:19.8386600
lat:49.6485800 lon:19.8580600
lat:49.6440500 lon:19.8710100
lat:49.6488600 lon:19.8257000
lat:49.6437500 lon:19.8387700
lat:49.6489300 lon:19.8582300
lat:49.6441300 lon:19.8637700
lat:49.6475300 lon:19.8195600
lat:49.6432100 lon:19.8383500
lat:49.6441500 lon:19.8616300
lat:49.6430700 lon:19.8382700
lat:49.6459500 lon:19.8227500
lat:49.6425600 lon:19.8392800
lat:49.6492500 lon:19.8578700
lat:49.6429700 lon:19.8688400
lat:49.6487200 lon:19.8222900
lat:49.6439100 lon:19.8389700
lat:49.6547100 lon:19.8382200
lat:49.6489400 lon:19.8271600
lat:49.6451100 lon:19.8267100
lat:49.6515300 lon:19.8309500
lat:49.6498800 lon:19.8326800
lat:49.6468200 lon:19.8292200
lat:49.6488200 lon:19.8467300
lat:49.6514600 lon:19.8363000
lat:49.6484900 lon:19.8293900
lat:49.6545000 lon:19.8371900
lat:49.6363800 lon:19.8271400
lat:49.6461100 lon:19.8209900
lat:49.6482500 lon:19.8227500
lat:49.6458900 lon:19.8617900
lat:49.6484400 lon:19.8226500
lat:49.6442500 lon:19.8620400
lat:49.6488400 lon:19.8226300
lat:49.6462800 lon:19.8470100
lat:49.6437800 lon:19.8418000
lat:49.6465900 lon:19.8155900
lat:49.6443900 lon:19.8352300
lat:49.6313700 lon:19.8521900
lat:49.6436600 lon:19.8603700
lat:49.6310200 lon:19.8504900
lat:49.6487400 lon:19.8229000
lat:49.6443900 lon:19.8364700
lat:49.6304900 lon:19.8564900
lat:49.6437500 lon:19.8573200
lat:49.6480000 lon:19.8178100
lat:49.6308800 lon:19.8568400
lat:49.6437300 lon:19.8594400
lat:49.6490200 lon:19.8224000
lat:49.6314700 lon:19.8569100
lat:49.6448800 lon:19.8571500
lat:49.6435300 lon:19.8598700
lat:49.6320800 lon:19.8612100
lat:49.6479200 lon:19.8209000
lat:49.6328900 lon:19.8306900
lat:49.6483100 lon:19.8276100
lat:49.6362200 lon:19.8273900
lat:49.6491400 lon:19.8270000
lat:49.6457200 lon:19.8264500
lat:49.6394500 lon:19.8241700
lat:49.6428800 lon:19.8172100
lat:49.6486400 lon:19.8469100
lat:49.6532100 lon:19.8369400
lat:49.6484100 lon:19.8294900
lat:49.6543400 lon:19.8388400
lat:49.6552900 lon:19.8276200
lat:49.6380000 lon:19.8268300
lat:49.6478500 lon:19.8206500
lat:49.6436100 lon:19.8381200
lat:49.6335700 lon:19.8676000
lat:49.6457300 lon:19.8510700
lat:49.6333600 lon:19.8680500
lat:49.6437900 lon:19.8646100
lat:49.6357100 lon:19.8606400
lat:49.6478300 lon:19.8176500
lat:49.6352100 lon:19.8613300
lat:49.6347500 lon:19.8608300
lat:49.6495100 lon:19.8322900
lat:49.6432600 lon:19.8162600
lat:49.6434500 lon:19.8173200
lat:49.6431000 lon:19.8174000
lat:49.6507900 lon:19.8260100
lat:49.6489200 lon:19.8270100
lat:49.6461800 lon:19.8275100
lat:49.6537100 lon:19.8287000
lat:49.6508200 lon:19.8312000
lat:49.6502200 lon:19.8325400
lat:49.6467500 lon:19.8291600
lat:49.6483500 lon:19.8467200
lat:49.6534600 lon:19.8376200
lat:49.6513200 lon:19.8363400
lat:49.6485300 lon:19.8302600
lat:49.6546900 lon:19.8376400
lat:49.6548000 lon:19.8282000
lat:49.6546100 lon:19.8367400
lat:49.6470900 lon:19.8157600
lat:49.6388000 lon:19.8450200
lat:49.6387500 lon:19.8452800
lat:49.6468400 lon:19.8156600
lat:49.6389800 lon:19.8458200
lat:49.6486000 lon:19.8206800
lat:49.6375300 lon:19.8445700
lat:49.6464000 lon:19.8190700
lat:49.6371000 lon:19.8439800
lat:49.6480900 lon:19.8185200
lat:49.6474500 lon:19.8171100
lat:49.6468000 lon:19.8166000
lat:49.6378500 lon:19.8453000
lat:49.6475400 lon:19.8168500
lat:49.6369900 lon:19.8462000
lat:49.6457300 lon:19.8209700
lat:49.6374200 lon:19.8443100
lat:49.6481100 lon:19.8209800
lat:49.6371700 lon:19.8455500
lat:49.6366000 lon:19.8305600
lat:49.6464900 lon:19.8271500
lat:49.6490900 lon:19.8268800
lat:49.6511100 lon:19.8322200
lat:49.6392200 lon:19.8238500
lat:49.6493500 lon:19.8326100
lat:49.6419800 lon:19.8145400
lat:49.6484000 lon:19.8299800
lat:49.6550200 lon:19.8370000
lat:49.6545000 lon:19.8364900
lat:49.6383600 lon:19.8442600
lat:49.6464800 lon:19.8175300
lat:49.6376600 lon:19.8451100
lat:49.6358600 lon:19.8305000
lat:49.6351300 lon:19.8300800
lat:49.6369200 lon:19.8453700
lat:49.6350200 lon:19.8290800
lat:49.6346600 lon:19.8292300
lat:49.6347700 lon:19.8292600
lat:49.6468800 lon:19.8179700
lat:49.6344700 lon:19.8292100
lat:49.6458100 lon:19.8212300
lat:49.6342000 lon:19.8291100
lat:49.6342500 lon:19.8293700
lat:49.6334600 lon:19.8290000
lat:49.6489100 lon:19.8268700
lat:49.6508700 lon:19.8312900
lat:49.6502400 lon:19.8326300
lat:49.6465800 lon:19.8292400
lat:49.6487800 lon:19.8474400
lat:49.6534900 lon:19.8381600
lat:49.6510700 lon:19.8364800
lat:49.6487300 lon:19.8306000
lat:49.6540500 lon:19.8388200
lat:49.6546600 lon:19.8361500
lat:49.6367600 lon:19.8273200
lat:49.6459100 lon:19.8129400
lat:49.6328600 lon:19.8277700
lat:49.6334500 lon:19.8284800
lat:49.6329700 lon:19.8285600
lat:49.6329800 lon:19.8286400
lat:49.6334400 lon:19.8288100
lat:49.6483500 lon:19.8298700
lat:49.6515200 lon:19.8241400
lat:49.6325200 lon:19.8279200
lat:49.6319800 lon:19.8275100
lat:49.6337800 lon:19.8268000
lat:49.6319400 lon:19.8278700
lat:49.6331800 lon:19.8299300
lat:49.6333700 lon:19.8307300
lat:49.6334600 lon:19.8312500
lat:49.6320900 lon:19.8618600
lat:49.6334200 lon:19.8318500
lat:49.6335400 lon:19.8319200
lat:49.6529000 lon:19.8258300
lat:49.6327300 lon:19.8327700
lat:49.6531700 lon:19.8266300
lat:49.6523500 lon:19.8270700
lat:49.6526300 lon:19.8269100
lat:49.6524300 lon:19.8253300
lat:49.6336000 lon:19.8316900
lat:49.6464700 lon:19.8290000
lat:49.6488400 lon:19.8307900
lat:49.6489900 lon:19.8261200
lat:49.6460400 lon:19.8266900
lat:49.6512100 lon:19.8325200
lat:49.6387500 lon:19.8235700
lat:49.6494200 lon:19.8329300
lat:49.6542300 lon:19.8384100
lat:49.6312900 lon:19.8576100
lat:49.6532500 lon:19.8247500
lat:49.6302000 lon:19.8279300
lat:49.6315500 lon:19.8513100
lat:49.6313700 lon:19.8579400
lat:49.6317900 lon:19.8583100
lat:49.6321900 lon:19.8508600
lat:49.6338200 lon:19.8329100
lat:49.6313200 lon:19.8581900
lat:49.6540700 lon:19.8285300
lat:49.6334600 lon:19.8327900
lat:49.6321500 lon:19.8500500
lat:49.6291200 lon:19.8281900
lat:49.6325900 lon:19.8570400
lat:49.6344900 lon:19.8300100
lat:49.6320400 lon:19.8626100
lat:49.6324900 lon:19.8326000
lat:49.6315300 lon:19.8576600
lat:49.6516000 lon:19.8233000
lat:49.6488400 lon:19.8265100
lat:49.6522800 lon:19.8221300
lat:49.6509700 lon:19.8314500
lat:49.6500200 lon:19.8329600
lat:49.6487800 lon:19.8479000
lat:49.6533100 lon:19.8397500
lat:49.6516600 lon:19.8365100
lat:49.6490900 lon:19.8312600
lat:49.6369700 lon:19.8264700
lat:49.6529300 lon:19.8335700
lat:49.6487700 lon:19.8514200
lat:49.6516600 lon:19.8216300
lat:49.6487400 lon:19.8259100
lat:49.6504400 lon:19.8343900
lat:49.6482900 lon:19.8523700
lat:49.6327800 lon:19.8301000
lat:49.6315600 lon:19.8581800
lat:49.6338300 lon:19.8324700
lat:49.6321400 lon:19.8497100
lat:49.6296800 lon:19.8273800
lat:49.6319400 lon:19.8495200
lat:49.6310000 lon:19.8281500
lat:49.6320000 lon:19.8506900
lat:49.6334600 lon:19.8273100
lat:49.6291500 lon:19.8337500
lat:49.6322900 lon:19.8635200
lat:49.6339200 lon:19.8270700
lat:49.6319500 lon:19.8623300
lat:49.6319100 lon:19.8293400
lat:49.6319200 lon:19.8580700
lat:49.6320800 lon:19.8631900
lat:49.6484200 lon:19.8485400
lat:49.6491200 lon:19.8258800
lat:49.6467000 lon:19.8268800
lat:49.6523800 lon:19.8223100
lat:49.6513200 lon:19.8326800
